iter	RMSE
181	2.945094596
182	2.943040902
183	2.93794652
184	2.936185172
185	2.933283083
186	2.930906704
187	2.927597465
188	2.926511017
189	2.921006763
190	2.918825387
191	2.914363904
192	2.912698193
193	2.912698193
194	2.908499047
195	2.906325359
196	2.902608407
197	2.901364423
198	2.899683682
199	2.896825849
200	2.893961301
201	2.89194823
202	2.888465599
203	2.886900709
204	2.882473759
205	2.88149557
206	2.878110359
207	2.875911523
208	2.87426434
209	2.872958415
210	2.870665275
211	2.865574554
212	2.86393977
213	2.861811525
214	2.861811519
215	2.860325059
216	2.85693638
217	2.853353495
218	2.850851101
219	2.848241407
220	2.842270395
221	2.838810812
222	2.835855172
223	2.832515075
224	2.829725011
225	2.827297626
226	2.824781557
227	2.822181812
228	2.818303591
229	2.816516753
230	2.813565233
231	2.812887706
232	2.808999024
233	2.804685228
234	2.803291472
235	2.800562101
236	2.797479071
237	2.793979563
238	2.793332581
239	2.791459287
240	2.790665138
241	2.788085249
242	2.787765834
243	2.785850751
244	2.783567083
245	2.780870717
246	2.779763842
247	2.777247026
248	2.777034524
249	2.775389231
250	2.770955432
251	2.768571899
252	2.766354787
253	2.765187856
254	2.762127238
255	2.759651488
256	2.756517239
257	2.752902142
258	2.751877694
259	2.749415914
260	2.745555463
261	2.742301247
262	2.739793229
263	2.737178509
264	2.734418591
265	2.727860633
266	2.726886474
267	2.725604763
268	2.723848279
269	2.721358666
270	2.718152803
271	2.716015968
272	2.714397376
273	2.708935113
274	2.702189483
275	2.699938586
276	2.697089061
277	2.69339017
278	2.691115774
279	2.690660311
280	2.687493985
281	2.684745488
282	2.684540862
283	2.680010885
284	2.676934473
285	2.676934462
286	2.676154942
287	2.674704762
288	2.673365993
289	2.671050972
290	2.669833769
291	2.669023607
292	2.667693269
293	2.666350413
294	2.6655866
295	2.664281698
296	2.662423521
297	2.66118064
298	2.659055532
299	2.658105551
300	2.658105545
301	2.654744679
302	2.652531706
303	2.650437366
304	2.647761945
305	2.646499002
306	2.642633503
307	2.639371696
308	2.638292753
309	2.638037834
310	2.637079243
311	2.636571553
312	2.634316864
313	2.633437926
314	2.630300954
315	2.629293923
316	2.626448502
317	2.624103631
318	2.618094567
319	2.614674381
320	2.610980019
321	2.608660854
322	2.604819788
323	2.60294326
324	2.599006764
325	2.596664885
326	2.596086477
327	2.595379406
328	2.592752849
329	2.591062356
330	2.589134616
331	2.587885772
332	2.586435323
333	2.584716972
334	2.580961099
335	2.580264675
336	2.578409123
337	2.578114945
338	2.574909036
339	2.573634345
340	2.572315568
341	2.571002727
342	2.569016504
343	2.567866627
344	2.566305622
345	2.564040861
346	2.562207567
347	2.561213152
348	2.558590211
349	2.556093049
350	2.55609302
351	2.555298969
352	2.553260012
353	2.551809756
354	2.550630165
355	2.54934622
356	2.548239905
357	2.5482399
358	2.547298804
359	2.546368667
360	2.543596699
361	2.541611269
362	2.53719428
363	2.537033402
364	2.532909526
365	2.52960867
366	2.528001606
367	2.525401252
368	2.523861799
369	2.522531116
370	2.520415572
371	2.518926208
372	2.516677608
373	2.512031551
374	2.511170323
375	2.510159684
376	2.507652006
377	2.506700665
378	2.505578474
379	2.50418701
380	2.502986901
381	2.498441407
382	2.497440319
383	2.496114683
384	2.492893712
385	2.492391551
386	2.491782248
387	2.490173305
388	2.489037168
389	2.488435733
390	2.485492516
391	2.484711255
392	2.482773089
393	2.479648953
394	2.476519558
395	2.473809794
396	2.473026345
397	2.4705749
398	2.46780201
399	2.467190933
400	2.465292207
401	2.464008974
402	2.46359534
403	2.461593558
404	2.460387335
405	2.460387326
406	2.459427811
407	2.458302458
408	2.457107548
409	2.456528433
410	2.454174297
411	2.453109081
412	2.45035358
413	2.447300874
414	2.445882736
415	2.442064441
416	2.440855176
417	2.439366555
418	2.43871884
419	2.438014158
420	2.435660041
421	2.434626292
422	2.433825245
423	2.4331475
424	2.431730857
425	2.431601907
426	2.429051022
427	2.427637373
428	2.426998541
429	2.426181618
430	2.423680283
431	2.422776417
432	2.419420994
433	2.418232068
434	2.417488294
435	2.416109747
436	2.413597685
437	2.412402761
438	2.410654437
439	2.410167111
440	2.408245345
441	2.406859027
442	2.404173111
443	2.403000555
444	2.402867025
445	2.401978083
446	2.395121576
447	2.393151541
448	2.391137996
449	2.389162492
450	2.388401751
451	2.387277963
452	2.386785058
453	2.385303708
454	2.382963433
455	2.381597421
456	2.378333118
457	2.376867171
458	2.374938167
459	2.374399255
460	2.373242192
461	2.372522469
462	2.37000024
463	2.36873126
464	2.367603267
465	2.366230131
466	2.363100904
467	2.362408557
468	2.36097252
469	2.358740041
470	2.357608811
471	2.356705482
472	2.355539913
473	2.354263742
474	2.352425245
475	2.35059242
476	2.349197421
477	2.3477013
478	2.345309428
479	2.343843558
480	2.341947056
481	2.340416612
482	2.340416611
483	2.337950219
484	2.337341618
485	2.336054487
486	2.333860628
487	2.332731555
488	2.331728802
489	2.328790762
490	2.3279121
491	2.327143173
492	2.326000281
493	2.3236253
494	2.321938785
495	2.319342558
496	2.317461013
497	2.315375933
498	2.312963686
499	2.311046139
500	2.310074117
501	2.30976656
502	2.309331906
503	2.308270795
504	2.305811992
505	2.303840839
506	2.303102523
507	2.301967315
508	2.300990425
509	2.300411622
510	2.299083212
511	2.299083164
512	2.29715391
513	2.296233829
514	2.294850185
515	2.293183456
516	2.291303802
517	2.290550581
518	2.290000955
519	2.287445334
520	2.28676724
521	2.284396751
522	2.283376014
523	2.281694836
524	2.27979741
525	2.27912164
526	2.278544463
527	2.277966046
528	2.276327244
529	2.275028276
530	2.272692915
531	2.271495244
532	2.26998219
533	2.26929223
534	2.267645712
535	2.267645705
536	2.266947321
537	2.265067847
538	2.26373178
539	2.26199497
540	2.259384632
541	2.258583132
542	2.255735886
543	2.253990781
544	2.252774022
545	2.251424298
546	2.250339554
547	2.249478479
548	2.248965531
549	2.248255903
550	2.247612607
551	2.247319052
552	2.245759749
553	2.24488438
554	2.242038277
555	2.24100789
556	2.239892306
557	2.239244373
558	2.238160039
559	2.237226379
560	2.233093704
561	2.231903641
562	2.230199104
563	2.228973992
564	2.22821178
565	2.227493557
566	2.225987463
567	2.22386047
568	2.22386047
569	2.222719657
570	2.22141097
571	2.219714105
572	2.217474843
573	2.216795439
574	2.216107672
575	2.213362278
576	2.21298468
577	2.21188498
578	2.210898241
579	2.210898209
580	2.209019158
581	2.206789493
582	2.20605173
583	2.204663027
584	2.204311862
585	2.204070809
586	2.203086302
587	2.201350049
588	2.200402352
589	2.19916673
590	2.197548683
591	2.196572837
592	2.195452667
593	2.191812079
594	2.190652365
595	2.189461176
596	2.188310561
597	2.187218411
598	2.186856716
599	2.18535051
600	2.184656119
601	2.183753447
602	2.182802432
603	2.182062222
604	2.17987513
605	2.178715733
606	2.17820853
607	2.177885975
608	2.177209328
609	2.176183855
610	2.175359591
611	2.174749142
612	2.173588425
613	2.172813493
614	2.169956371
615	2.168917423
616	2.16783003
617	2.167060289
618	2.166497274
619	2.166400436
620	2.165120919
621	2.164811268
622	2.163387717
623	2.162880171
624	2.161287988
625	2.161169723
626	2.160261925
627	2.15823742
628	2.157659659
629	2.155761386
630	2.155282764
631	2.154881056
632	2.153509043
633	2.153006879
634	2.15034916
635	2.149405834
636	2.148592357
637	2.147425987
638	2.146255392
639	2.145514461
640	2.143499643
641	2.142398855
642	2.140149678
643	2.138916424
644	2.138453559
645	2.136614957
646	2.135401572
647	2.134565597
648	2.133403241
649	2.132450429
650	2.130340575
651	2.129871847
652	2.12846623
653	2.127906453
654	2.126934933
655	2.126032115
656	2.125977419
657	2.125205824
658	2.124040923
659	2.123484907
660	2.122698724
661	2.120991178
662	2.119665325
663	2.116987053
664	2.115698756
665	2.115044017
666	2.113978715
667	2.111823613
668	2.110088789
669	2.109586098
670	2.109334819
671	2.109286921
672	2.108236942
673	2.106970439
674	2.106418529
675	2.105534448
676	2.105421363
677	2.10398687
678	2.103049486
679	2.102273765
680	2.100384436
681	2.099469499
682	2.098466371
683	2.096842667
684	2.095240725
685	2.094006086
686	2.091169716
687	2.090653722
688	2.089538116
689	2.088788674
690	2.088512091
691	2.087628799
692	2.086434043
693	2.085728142
694	2.084441674
695	2.08327616
696	2.08236441
697	2.081554137
698	2.080533174
699	2.080355617
700	2.080170443
701	2.078963652
702	2.07835091
703	2.077646953
704	2.077619398
705	2.07567315
706	2.074779302
707	2.074171706
708	2.073511193
709	2.072064256
710	2.07078914
711	2.070329823
712	2.068602686
713	2.066209719
714	2.065754353
715	2.065276
716	2.064580574
717	2.063825984
718	2.063019735
719	2.061875595
720	2.061500679
721	2.061034774
722	2.060316679
723	2.058753132
724	2.057694897
725	2.05689763
726	2.055984565
727	2.055180546
728	2.054010363
729	2.052453788
730	2.051416606
731	2.051416597
732	2.050444943
733	2.046989143
734	2.045670452
735	2.044866701
736	2.043987983
737	2.043439577
738	2.042828809
739	2.042434832
740	2.040914461
741	2.040262534
742	2.03900438
743	2.037598317
744	2.036784815
745	2.03598584
746	2.035925238
747	2.034868066
748	2.03440404
749	2.033874416
750	2.032974854
751	2.032121332
752	2.030731041
753	2.029703834
754	2.028644484
755	2.02853233
756	2.027461593
757	2.025655916
758	2.024413029
759	2.024035199
760	2.023041372
761	2.021807915
762	2.020806702
763	2.019817846
764	2.019354967
765	2.017437284
766	2.015790824
767	2.015101965
768	2.014378046
769	2.014032051
770	2.013591623
771	2.01256126
772	2.011839943
773	2.010981069
774	2.010068832
775	2.009690818
776	2.009445713
777	2.008109022
778	2.008041132
779	2.00718339
780	2.004345503
781	2.002754494
782	2.0013908
783	2.000894465
784	1.999128416
785	1.997576209
786	1.996988715
787	1.995920942
788	1.994649865
789	1.993992812
790	1.992870772
791	1.991568739
792	1.991346161
793	1.990226906
794	1.988877761
795	1.988213719
796	1.987965977
797	1.986943986
798	1.985616894
799	1.983866629
800	1.98325404
801	1.981991779
802	1.980899596
803	1.979712526
804	1.979092814
805	1.978055811
806	1.976517617
807	1.975934238
808	1.974842983
809	1.974253647
810	1.973273302
811	1.972420984
812	1.971613162
813	1.969384687
814	1.968191321
815	1.967945677
816	1.967091102
817	1.96627383
818	1.964944616
819	1.964348774
820	1.963521216
821	1.962840171
822	1.961756131
823	1.961756129
824	1.958981975
825	1.958374013
826	1.957946554
827	1.957083424
828	1.956705535
829	1.955165724
830	1.953600364
831	1.952775614
832	1.951294833
833	1.951086984
834	1.94992437
835	1.949084938
836	1.948756476
837	1.947547974
838	1.947065788
839	1.946201002
840	1.945312018
841	1.944419827
842	1.944042195
843	1.943733613
844	1.943165426
845	1.941576843
846	1.940456111
847	1.939989357
848	1.938906446
849	1.937161438
850	1.936866033
851	1.93560953
852	1.934141481
853	1.933342093
854	1.932446108
855	1.93139878
856	1.92821728
857	1.92821719
858	1.927446605
859	1.92569497
860	1.925321208
861	1.925249345
862	1.92524934
863	1.923978977
864	1.923702015
865	1.92323439
866	1.9226351
867	1.92241901
868	1.921721268
869	1.921094977
870	1.920478056
871	1.920189703
872	1.919936286
873	1.918785618
874	1.918233393
875	1.91744692
876	1.917090791
877	1.916278121
878	1.915626093
879	1.914257101
880	1.913078526
881	1.912853461
882	1.912315897
883	1.912142205
884	1.911791489
885	1.911351724
886	1.910447924
887	1.909627257
888	1.908116577
889	1.906880176
890	1.905635725
891	1.905184711
892	1.904763693
893	1.903729093
894	1.902627183
895	1.900925892
896	1.900717922
897	1.899909305
898	1.899524634
899	1.898278925
900	1.896142795
901	1.894739166
902	1.893068904
903	1.892680035
904	1.892369736
905	1.8916002
906	1.890932873
907	1.890345611
908	1.890277936
909	1.889966149
910	1.88895893
911	1.887377328
912	1.886008939
913	1.885436726
914	1.884696843
915	1.88415301
916	1.883445655
917	1.881686161
918	1.880709288
919	1.880369545
920	1.879969171
921	1.879139003
922	1.878666079
923	1.877949271
924	1.877484183
925	1.87585941
926	1.874639453
927	1.87422436
928	1.873863734
929	1.873644801
930	1.87330332
931	1.872021575
932	1.871417672
933	1.867810295
934	1.866433158
935	1.866433157
936	1.865334745
937	1.865089563
938	1.864737109
939	1.864376463
940	1.863937945
941	1.86338296
942	1.861915501
943	1.86152556
944	1.86110454
945	1.860729203
946	1.859591023
947	1.858430301
948	1.858430301
949	1.857879603
950	1.8563006
951	1.856000756
952	1.85557769
953	1.855017678
954	1.853552695
955	1.852681224
956	1.852187958
957	1.851054247
958	1.850508393
959	1.850332483
960	1.849634661
961	1.849331877
962	1.847465941
963	1.846560479
964	1.846203173
965	1.845897302
966	1.845292724
967	1.844291831
968	1.843494677
969	1.842725213
970	1.841731677
971	1.841299472
972	1.840795876
973	1.840617931
974	1.840376674
975	1.839176627
976	1.838831205
977	1.838542377
978	1.837198146
979	1.836556113
980	1.836175436
981	1.835569225
982	1.835180827
983	1.833684638
984	1.832934786
985	1.831828687
986	1.831071028
987	1.831017647
988	1.830136231
989	1.82920176
990	1.82920176
991	1.828707909
992	1.828472008
993	1.82773765
994	1.826882407
995	1.826162034
996	1.825678281
997	1.824514729
998	1.823461675
999	1.822361728
