iter	MultiClass
127	2.575944395
128	2.573708628
129	2.572526271
130	2.569386456
131	2.567655957
132	2.565422842
133	2.564038157
134	2.562711074
135	2.561233365
136	2.557914302
137	2.556091842
138	2.554922631
139	2.55220779
140	2.551154917
141	2.548155232
142	2.5471029
143	2.545580001
144	2.544139691
145	2.543009734
146	2.539706898
147	2.538116973
148	2.534691256
149	2.533828611
150	2.530370273
151	2.527687605
152	2.526721388
153	2.525910803
154	2.523741023
155	2.522270053
156	2.521321995
157	2.519527297
158	2.5186571
159	2.5161554
160	2.514178219
161	2.513107959
162	2.511637825
163	2.50936926
164	2.507266949
165	2.50561214
166	2.503909443
167	2.502291587
168	2.501496402
169	2.500133525
170	2.497485559
171	2.495687537
172	2.494636614
173	2.492707869
174	2.49167058
175	2.49080979
176	2.489502974
177	2.487461583
178	2.486146058
179	2.485456658
180	2.483447174
181	2.48270874
182	2.481933266
183	2.480437258
184	2.478303116
185	2.47711357
186	2.475325109
187	2.473787647
188	2.471520917
189	2.469926344
190	2.468221872
191	2.467479366
192	2.465807496
193	2.464938202
194	2.462394695
195	2.461006223
196	2.459407793
197	2.458587842
198	2.457902202
199	2.454616498
200	2.453719428
201	2.452141111
202	2.450327401
203	2.447639634
204	2.44687888
205	2.44619515
206	2.444508686
207	2.442636513
208	2.440171426
209	2.439783588
210	2.438698144
211	2.437783131
212	2.437291045
213	2.436171821
214	2.435666696
215	2.43285647
216	2.432150956
217	2.429346077
218	2.428047987
219	2.426456708
220	2.42496079
221	2.423811499
222	2.422420688
223	2.421780733
224	2.420292728
225	2.418240363
226	2.417720822
227	2.41712842
228	2.416214517
229	2.413778077
230	2.411388384
231	2.409341093
232	2.409041709
233	2.407863188
234	2.404644107
235	2.402509201
236	2.401770617
237	2.400734771
238	2.400268052
239	2.399090163
240	2.397441881
241	2.396235423
242	2.393858715
243	2.392590423
244	2.392078581
245	2.391668619
246	2.390836428
247	2.388648371
248	2.387367757
249	2.384861256
250	2.384612191
251	2.384370975
252	2.383069543
253	2.382495021
254	2.381226882
255	2.378716979
256	2.376102648
257	2.374855157
258	2.373904373
259	2.371008087
260	2.37064023
261	2.369487325
262	2.368541301
263	2.368260471
264	2.367391743
265	2.366913196
266	2.366402799
267	2.363604068
268	2.361738035
269	2.359620788
270	2.356771003
271	2.356205296
272	2.353772457
273	2.352848389
274	2.352503298
275	2.350880077
276	2.349417622
277	2.348309116
278	2.345941495
279	2.344818117
280	2.343572261
281	2.343198758
282	2.340424382
283	2.338199058
284	2.336236867
285	2.334793358
286	2.332975814
287	2.330645403
288	2.329879002
289	2.328640672
290	2.32717529
291	2.326798206
292	2.326349625
293	2.325546071
294	2.325146549
295	2.324531485
296	2.324238875
297	2.323617082
298	2.323363617
299	2.322498604
300	2.321041032
301	2.318719371
302	2.316901949
303	2.314159089
304	2.312395567
305	2.3100875
306	2.309919885
307	2.30965703
308	2.307608334
309	2.307230448
310	2.30621586
311	2.305785613
312	2.304722755
313	2.302126936
314	2.3000532
315	2.298341755
316	2.297439853
317	2.29715763
318	2.295493387
319	2.294691809
320	2.294202848
321	2.292940158
322	2.290487102
323	2.288369273
324	2.286321449
325	2.284486523
326	2.283822386
327	2.283468937
328	2.282602682
329	2.282261552
330	2.279936933
331	2.27869666
332	2.277203903
333	2.27532569
334	2.274224897
335	2.273376928
336	2.272173307
337	2.269205661
338	2.2675296
339	2.265979293
340	2.265628865
341	2.264264358
342	2.263118225
343	2.262365641
344	2.261755276
345	2.261081552
346	2.258511613
347	2.257385277
348	2.257180185
349	2.255469725
350	2.255160812
351	2.254185697
352	2.253590354
353	2.253195457
354	2.251859133
355	2.25049183
356	2.250192371
357	2.249629158
358	2.247374174
359	2.245636322
360	2.245267871
361	2.243463092
362	2.240926519
363	2.239192272
364	2.237152355
365	2.234992064
366	2.233246595
367	2.232919375
368	2.230245519
369	2.227921305
370	2.225669123
371	2.223662097
372	2.221821819
373	2.220268904
374	2.217740444
375	2.216963672
376	2.215262065
377	2.213517782
378	2.212199262
379	2.211594777
380	2.210096801
381	2.207744538
382	2.207182118
383	2.204651953
384	2.203569374
385	2.201519127
386	2.199618179
387	2.197459594
388	2.197250029
389	2.195386443
390	2.19266255
391	2.191761796
392	2.191218328
393	2.190707908
394	2.190440434
395	2.188113678
396	2.186117813
397	2.185322807
398	2.183525605
399	2.180886987
400	2.179507241
401	2.176895379
402	2.174587467
403	2.171463855
404	2.168638978
405	2.168071792
406	2.165492616
407	2.16310042
408	2.160316618
409	2.158450949
410	2.155740405
411	2.153116186
412	2.151354317
413	2.15021658
414	2.146929463
415	2.144391159
416	2.142039012
417	2.140288269
418	2.139596609
419	2.138396545
420	2.135527992
421	2.132680743
422	2.130888372
423	2.129031192
424	2.126339139
425	2.123475078
426	2.120740223
427	2.118216932
428	2.117969697
429	2.116090096
430	2.114140711
431	2.113282211
432	2.110776128
433	2.10831414
434	2.106124746
435	2.10365688
436	2.103101161
437	2.101115354
438	2.099112838
439	2.097935412
440	2.0957963
441	2.093304931
442	2.091486713
443	2.088924873
444	2.086487859
445	2.085294865
446	2.08346909
447	2.081631285
448	2.079557335
449	2.077577079
450	2.074961985
451	2.073236985
452	2.07123066
453	2.069233967
454	2.066021007
455	2.064057048
456	2.062622926
457	2.060778651
458	2.05877708
459	2.056673518
460	2.055188326
461	2.053683805
462	2.051389448
463	2.050517797
464	2.048217572
465	2.046129109
466	2.04298793
467	2.041489096
468	2.040403923
469	2.039662515
470	2.038027298
471	2.036374429
472	2.033916899
473	2.032481838
474	2.031456028
475	2.029333562
476	2.027061112
477	2.024895992
478	2.022460786
479	2.022061887
480	2.019482938
481	2.018808858
482	2.017229261
483	2.014840713
484	2.014252255
485	2.012506723
486	2.010605455
487	2.008497778
488	2.007086885
489	2.005672652
490	2.003565345
491	2.001585988
492	2.00118702
493	1.999669144
494	1.996944807
495	1.996124253
496	1.994738761
497	1.992632968
498	1.991746592
499	1.991083571
500	1.990517539
501	1.989903811
502	1.988496296
503	1.987303055
504	1.9856424
505	1.984079313
506	1.982547683
507	1.980463955
508	1.978213028
509	1.977034237
510	1.974841239
511	1.973108997
512	1.972983293
513	1.972053509
514	1.969825547
515	1.969082537
516	1.966307776
517	1.965424419
518	1.964056409
519	1.962885358
520	1.961714862
521	1.960001325
522	1.958491813
523	1.958169898
524	1.957874762
525	1.956581054
526	1.955205817
527	1.952926159
528	1.951641879
529	1.949720609
530	1.947828179
531	1.945980501
532	1.945710979
533	1.942933895
534	1.942246642
535	1.941531329
536	1.938853405
537	1.937543395
538	1.935032486
539	1.934845078
540	1.932079583
541	1.931066042
542	1.929780855
543	1.928755316
544	1.928215246
545	1.925818861
546	1.925326363
547	1.924063217
548	1.923897905
549	1.922092588
550	1.921072922
551	1.918528475
552	1.91717656
553	1.915762638
554	1.914079884
555	1.912760618
556	1.91004686
557	1.90874385
558	1.908026328
559	1.907847175
560	1.906377985
561	1.90563451
562	1.90552822
563	1.90433703
564	1.902467371
565	1.900331372
566	1.900063747
567	1.899798252
568	1.89799685
569	1.897278318
570	1.895304639
571	1.894574745
572	1.894417201
573	1.892641107
574	1.891543665
575	1.889530758
576	1.888167098
577	1.887329635
578	1.88583519
579	1.88573443
580	1.884383177
581	1.884283295
582	1.883399388
583	1.883019308
584	1.882268245
585	1.880427139
586	1.87993816
587	1.878482669
588	1.877329425
589	1.87698924
590	1.874233291
591	1.872909264
592	1.870157379
593	1.8678891
594	1.86514011
595	1.864572231
596	1.864197606
597	1.863947261
598	1.863712517
599	1.863574953
600	1.861684913
601	1.860782237
602	1.858541956
603	1.856902018
604	1.856654246
605	1.854438948
606	1.853445418
607	1.850749194
608	1.850592964
609	1.849039908
610	1.847111022
611	1.846779391
612	1.846618845
613	1.845320788
614	1.843556977
615	1.843215592
616	1.841741595
617	1.841582786
618	1.839957377
619	1.839868681
620	1.839711203
621	1.83906512
622	1.83891508
623	1.837260329
624	1.836222001
625	1.835156554
626	1.833969209
627	1.831291629
628	1.828991144
629	1.82806305
630	1.827565678
631	1.827183564
632	1.82673089
633	1.826570432
634	1.824822141
635	1.823743358
636	1.822675414
637	1.821020656
638	1.819667864
639	1.819523496
640	1.819286352
641	1.819203756
642	1.817196145
643	1.816840862
644	1.815782855
645	1.815648091
646	1.814243243
647	1.813106517
648	1.812373375
649	1.810244742
650	1.810095057
651	1.809615317
652	1.809458006
653	1.809342001
654	1.808867741
655	1.80826987
656	1.806351379
657	1.805099521
658	1.804962924
659	1.803301952
660	1.80256681
661	1.801230832
662	1.800895237
663	1.798521223
664	1.795884325
665	1.793549899
666	1.792474591
667	1.792127254
668	1.791311613
669	1.789178339
670	1.788949357
671	1.788429958
672	1.787311172
673	1.786848891
674	1.785845058
675	1.785676123
676	1.783954773
677	1.78201453
678	1.780824327
679	1.778346786
680	1.778154941
681	1.777436055
682	1.775762824
683	1.774497844
684	1.773512529
685	1.772928026
686	1.771557578
687	1.770900505
688	1.770587361
689	1.76925502
690	1.767007651
691	1.766043187
692	1.764577181
693	1.763624775
694	1.761887442
695	1.761816002
696	1.761572934
697	1.761435599
698	1.760715002
699	1.759140888
700	1.757574282
701	1.757449602
702	1.757334439
703	1.756115597
704	1.753907725
705	1.752380602
706	1.749961429
707	1.748731181
708	1.748536613
709	1.746418848
710	1.746282126
711	1.745580263
712	1.745473688
713	1.744304135
714	1.743372149
715	1.741872382
716	1.740443509
717	1.739238491
718	1.736840667
719	1.736361635
720	1.735266302
721	1.732996391
722	1.73130816
723	1.731197816
724	1.729723986
725	1.728268362
726	1.728203085
727	1.727290338
728	1.726007389
729	1.725694431
730	1.723833993
731	1.722375499
732	1.721168892
733	1.719366529
734	1.717844708
735	1.716742615
736	1.716056926
737	1.715182074
738	1.713223695
739	1.711871406
740	1.710797825
741	1.708824164
742	1.707701687
743	1.706657941
744	1.70640345
745	1.705956169
746	1.70469848
747	1.704275357
748	1.703195556
749	1.702776783
750	1.701633352
751	1.700755995
752	1.699112171
753	1.698258498
754	1.697576727
755	1.697424932
756	1.697301232
757	1.695238724
758	1.69349813
759	1.691931351
760	1.691315571
761	1.691017469
762	1.690352579
763	1.688320757
764	1.687453366
765	1.686506503
766	1.685359175
767	1.684851286
768	1.683056507
769	1.681832615
770	1.681450924
771	1.680489022
772	1.67960326
773	1.678387915
774	1.678328578
775	1.676611005
776	1.675331082
777	1.673850837
778	1.67292956
779	1.672074563
780	1.671629985
781	1.670449437
782	1.669230149
783	1.667399532
784	1.666147612
785	1.664556917
786	1.662577691
787	1.662192539
788	1.661329104
789	1.660947662
790	1.660579221
791	1.659059865
792	1.658471162
793	1.657493982
794	1.657116821
795	1.656364482
796	1.655333698
797	1.653520751
798	1.651263127
799	1.650752101
800	1.649830401
801	1.649731129
802	1.648409577
803	1.64754424
804	1.647184853
805	1.647086599
806	1.646874648
807	1.645880361
808	1.645026014
809	1.643641747
810	1.642422724
811	1.641087398
812	1.639114559
813	1.638170471
814	1.636613837
815	1.635223603
816	1.634349904
817	1.632803335
818	1.632690508
819	1.631336132
820	1.630624933
821	1.629717875
822	1.628014926
823	1.627830493
824	1.626076186
825	1.625375947
826	1.624574615
827	1.622956462
828	1.622129321
829	1.621035876
830	1.619672953
831	1.619578003
832	1.61823049
833	1.616713483
834	1.614717021
835	1.613343719
836	1.61253699
837	1.611120852
838	1.609904393
839	1.609081416
840	1.608384328
841	1.606886307
842	1.605489418
843	1.60411769
844	1.602785426
845	1.600860388
846	1.600766619
847	1.599812935
848	1.598880753
849	1.597544131
850	1.596775522
851	1.595585772
852	1.594170569
853	1.592936876
854	1.591169007
855	1.589093591
856	1.588469703
857	1.586860655
858	1.585453924
859	1.58398651
860	1.582688885
861	1.582317053
862	1.582165896
863	1.580670159
864	1.57962693
865	1.577957546
866	1.577016466
867	1.576255202
868	1.575951361
869	1.575650897
870	1.574810767
871	1.574513803
872	1.573215243
873	1.571772892
874	1.570840844
875	1.57010548
876	1.569385317
877	1.56795056
878	1.56660836
879	1.565332939
880	1.564473097
881	1.562749235
882	1.56140227
883	1.559550506
884	1.557920227
885	1.555793169
886	1.55425888
887	1.552898139
888	1.552150393
889	1.550705898
890	1.549044572
891	1.547262149
892	1.545824934
893	1.544519956
894	1.543026335
895	1.541740893
896	1.540497556
897	1.539776245
898	1.538474317
899	1.537503701
900	1.53732194
901	1.536363475
902	1.535330363
903	1.535211527
904	1.533162301
905	1.532744531
906	1.531602716
907	1.53065247
908	1.529004767
909	1.528064653
910	1.527135539
911	1.525974294
912	1.524305378
913	1.52281814
914	1.521042718
915	1.519674049
916	1.518286008
917	1.517373667
918	1.515709466
919	1.514372136
920	1.513196901
921	1.511892858
922	1.510018423
923	1.508046969
924	1.506202229
925	1.505010259
926	1.50358328
927	1.503246531
928	1.502927415
929	1.502523165
930	1.501407567
931	1.50045512
932	1.499071504
933	1.496893468
934	1.49593322
935	1.495639474
936	1.494341275
937	1.493716218
938	1.49340305
939	1.492125145
940	1.490920046
941	1.490596812
942	1.489085621
943	1.48898279
944	1.488562443
945	1.487559543
946	1.486848988
947	1.485487541
948	1.484312472
949	1.483709857
950	1.482152523
951	1.481439579
952	1.481268564
953	1.479779307
954	1.478906977
955	1.477772343
956	1.476442894
957	1.473660755
958	1.47248177
959	1.472042524
960	1.471929482
961	1.471546358
962	1.470696896
963	1.470108448
964	1.469399737
965	1.468671854
966	1.4679339
967	1.467812676
968	1.467388143
969	1.465533735
970	1.46369834
971	1.461575582
972	1.461395397
973	1.460156953
974	1.459784936
975	1.458202915
976	1.457456063
977	1.457288276
978	1.456875011
979	1.455189387
980	1.455102732
981	1.454765393
982	1.454290545
983	1.452832971
984	1.452224375
985	1.450540694
986	1.450179299
987	1.44857989
988	1.447905627
989	1.447359518
990	1.446326909
991	1.446075567
992	1.444048855
993	1.443392472
994	1.442379987
995	1.442215506
996	1.441065797
997	1.440650035
998	1.439804183
999	1.439641245
