name,draft_year,yc_per_attempt,yb_per_attempt,mtf_per_attempt,yc_over5_rate,mib_over8_rate,pass_protection_success_rate,rec_yard_per_pass_play,draft_pick,years_since_hs,rec_share,total_yards_per_team_play,total_td_share,scout_rating,scout_versatility
Jonathan Taylor,2020,4.82,1.39,0.3,0.287,0.26,NA,2.2,41,3,0.105691057,2.373684211,0.464285714,88.5,89
JK Dobbins,2020,5.04,1.72,0.325,0.263,0.09,0.47,1.2,55,3,0.084870849,2.140818268,0.264367816,87.95,96
D'Andre Swift,2020,4.73,1.85,0.391,0.337,0.23,0.9,1.1,35,3,0.094117647,1.557003257,0.170212766,84.45,94
AJ Dillon,2020,4.16,1.9,0.247,0.235,0.46,0.67,1.3,62,3,0.080745342,1.976866456,0.319148936,84.1,94
Zack Moss,2020,4.2,1.4,0.402,0.315,0.13,0.88,2.4,86,4,0.120171674,1.995575221,0.314814815,83.9,93.5
Cam Akers,2020,4.37,0.57,0.446,0.241,0.05,0.77,1.1,52,3,0.107526882,1.521111111,0.375,83.9,93
Clyde Edwards-Helaire,2020,4.5,1.58,0.423,0.26,0.06,0.71,1.3,32,3,0.129107981,1.759660697,0.182795699,83.3,96
Eno Benjamin,2020,3.48,1.09,0.284,0.25,0.2,0.43,1.1,222,3,0.180257511,1.737545565,0.352941176,81.85,92
Ke'Shawn Vaughn,2020,5.41,1.78,0.321,0.205,0.13,0.85,1.2,76,5,0.138613861,1.758807588,0.476190476,80.4,94
Antonio Gibson,2020,,,0.48,,,,,66,4,0.135231317,1.131147541,0.184615385,79,93.5
Darrynton Evans,2020,4.49,1.13,0.302,0.209,0.19,0.5,1,93,4,0.090909091,1.744282744,0.353846154,78.8,91
Anthony McFarland,2020,5.89,1.5,0.343,0.286,0.16,0.63,0.9,124,3,0.098837209,0.971128609,0.230769231,74,85
