season,mfl_id,fantasypros_id,pos,player_name,fan_pts_mean,fan_pts_max,fan_pts_min,pass_att_mean,pass_cmp_mean,pass_yds_mean,pass_tds_mean,pass_int_mean,pass_att_max,pass_cmp_max,pass_yds_max,pass_tds_max,pass_int_max,pass_att_min,pass_cmp_min,pass_yds_min,pass_tds_min,pass_int_min,rush_att_mean,rush_yds_mean,rush_tds_mean,rush_att_max,rush_yds_max,rush_tds_max,rush_att_min,rush_yds_min,rush_tds_min,fmb_lost_mean,fmb_lost_max,fmb_lost_min,rec_mean,rec_yds_mean,rec_tds_mean,rec_max,rec_yds_max,rec_tds_max,rec_min,rec_yds_min,rec_tds_min,dst_sack_mean,dst_int_mean,dst_fr_mean,dst_ff_mean,dst_td_mean,dst_saf_mean,dst_pa_mean,dst_ydsagn_mean,dst_sack_max,dst_int_max,dst_fr_max,dst_ff_max,dst_td_max,dst_saf_max,dst_pa_max,dst_ydsagn_max,dst_sack_min,dst_int_min,dst_fr_min,dst_ff_min,dst_td_min,dst_saf_min,dst_pa_min,dst_ydsagn_min,fg_made_mean,fg_att_mean,xpt_made_mean,fg_made_max,fg_att_max,xpt_made_max,fg_made_min,fg_att_min,xpt_made_min
2016,NA,NA,dst,Kansas City Chiefs,119.7,186,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4,18.3,10,9.6,3.5,0.7,299,5317.2,46,21,11.9,15,4.2,1,327,5125.2,33,16,8,1,2,0,284.9,5502.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,12626,15514,rb,Derrick Henry,119.7,144.9,86.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.4,584.3,4.4,178.2,680.2,6.7,105.8,404.1,2.5,1.4,0,2,18.5,158.7,0.6,29,229.1,1,8,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,12620,15600,qb,Dak Prescott,118.6,201.6,91.6,218,134.4,1760.1,11.3,7.5,239.1,151.3,3111,19,5,184,120,1408,7.9,14,29.9,146.1,1.3,52.8,287.9,2.5,15,74,0.4,2.2,1.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,11945,13731,k,Cairo Santos,118.4,125.3,111.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,32.7,38.8,28.8,34.3,44,24.1,31,32.2
2016,NA,NA,dst,Houston Texans,117.4,185,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2,16.4,10.6,10.1,3.2,0.4,315.2,5139.1,47,20.9,14,19,5.5,1,348,4951,40,13.6,8.2,0,2,0,286.2,5424,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,11947,13274,k,Brandon McManus,117.4,134.5,113.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,32.3,35,29.7,34.1,40,26.1,31.1,29.2
2016,12381,NA,qb,Trevor Siemian,116.6,204,63.4,338,202.8,2173.3,11.6,11.4,546.2,338,3695.6,16.6,7,160,95,1030,7,15.6,22.6,81.1,0.5,47.3,207.6,1.1,13,39,0,2.5,1,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,dst,Pittsburgh Steelers,116.5,189,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,15.3,12.1,13.5,3.3,0.4,331.3,5634.6,45,17.6,17,24,5.3,1,348,5472,38,14,10,1,2,0,319,5948.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,dst,Los Angeles Rams,114.2,178,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,13.6,12.5,13.6,3.4,0.5,340.7,5666,43.6,16.4,15,21,4.1,1,375,5471,36.6,12,10,0,2,0,325,5952,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,dst,Seattle Seahawks,114,207,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6,15.5,10.9,12,3.5,0.4,284.9,4725.7,42.4,18.2,14,19,5,1,312,4279,36,13.2,9,0,2,0,268,5197.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
