name,draft_year,draft_pick,yards_created_per_attempt,yards_blocked_per_attempt,missed_tackles_per_attempt,yards_created_over5_rate,loaded_box_over8_rate,pass_protect_success_rate,rec_yards_per_pass_play,missed_tackles_per_rec,receiving_target_share,backfield_fp_share,yards_per_team_play,ypc_above_line_yards
Kareem Hunt,2017,86,5.81,0.92,0.465,0.347,0.05,0.8,2.3,0.42,0.1409,0.6097,2.01,2.37
Alvin Kamara,2017,89,5.82,1.41,0.345,0.362,0.16,0.83,2.8,0.527,0.1681,0.5574,1.1,2.55
D'Onta Foreman,2017,67,5.82,1.39,0.323,0.3,0.17,0.73,0.5,0.113,0.029,0.8347,2.11,2.98
Leonard Fournette,2017,4,5.83,1.06,0.252,0.303,0.67,0.87,1.4,0.203,0.1275,0.8259,2.85,3.38
Joe Mixon,2017,48,6.75,1.21,0.57,0.407,0.06,0.75,2.9,0.194,0.136,0.6398,1.89,3.7
Derrick Henry,2016,45,4.02,1.14,0.3,0.24,,0.71,0.4,0.381,0.0365,0.4755,2.14,2.57
Kenneth Dixon,2016,134,4.14,0.59,0.37,0.207,,0.7,2.3,0.373,0.1145,0.7432,1.7,2.52
DeAndre Washington,2016,143,4.28,1.05,0.402,0.241,,0.9,0.9,0.235,0.1054,0.5625,1.75,3.01
Devontae Booker,2016,136,4.43,1.02,0.36,0.262,,0.86,1.3,0.316,0.1878,0.9352,1.94,2.22
Paul Perkins,2016,149,4.61,0.73,0.365,0.259,,0.71,0.9,0.348,0.0872,0.7886,1.82,3.05
Jordan Howard,2016,150,4.7,1.16,0.282,0.273,,0.88,1,0.365,0.0443,0.5675,1.76,2.28
Alex Collins,2016,171,4.9,1.22,0.289,0.263,,0.85,0.5,0.121,0.0528,0.7291,1.9,2.66
C.J. Prosise,2016,90,4.9,1.26,0.405,0.238,,0.75,1.7,0.154,0.1079,0.4743,1.57,3.53
Wendell Smallwood,2016,153,5.3,1.34,0.286,0.333,,,0.7,0.097,0.1121,0.5805,1.61,3.1
Ezekiel Elliott,2016,4,5.98,1.34,0.38,0.324,,0.94,0.9,0.057,0.1324,0.4994,2.31,3.08
Kenyan Drake,2016,73,6.11,1.26,0.351,0.297,,0.67,2,0.405,0.0963,0.4745,0.03,2.25
